"idNFT","urlNFT","imageNFT","nameNFT","salesNFT","volumnNFT","changeNFT","floorPriceNFT"
"1","https://www.binance.com/vi/nft/collection/metaverse-king-671288102148268032?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1702196232569_c7u6glzejmislrcr7hl5l5r9bx8h96ls_64x64.webp","Metaverse King","125","8.5 BNB","+0.00","0.06 BNB"
"2","https://www.binance.com/vi/nft/collection/neon-cuts-671432400327327744?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1694190902316_zi85kmtk2gfkgrrvp3ghiczcz6o6aksc_64x64.webp","NEON CUTS","200","2.71 BNB","+423.28","0.05 BNB"
"3","https://www.binance.com/vi/nft/collection/metaverse-skull-yacht-club-783394728618848256?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1701537842496_von10c5o60paba24gzttimn0nlimmbjz_64x64.webp","Metaverse Skull Yacht Club","15","2.61 BNB","+255.16","0.04 BNB"
"4","https://www.binance.com/vi/nft/collection/metaverse-ape-yacht-club-753770820135309313?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1694477256483_uhqm3lxlpji6zybii8m38s1ktmsembnu_64x64.webp","Metaverse Ape Yacht Club","68","2.14 BNB","+123.19","0.06 BNB"
"5","https://www.binance.com/vi/nft/collection/alpine-race-collectibles-692959699477970944?isBack=1","https://public.nftstatic.com/static/nft/webp/c5a578c386684132a36d17e5c3735df0_64x64.webp","Alpine Race Collectibles","29,115","43.95 BNB","+1,884.10","< 0.01 BNB"
"6","https://www.binance.com/vi/nft/collection/rose-collection-668759428913696768?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1686313208695_dom4t3byesa95h118zn520ugcd0pdplj_64x64.webp","Rose Collection","360","1.85 BNB","+881.60","0.02 BNB"
"7","https://www.binance.com/vi/nft/collection/azuki-566536999900893185?isBack=1","https://public.nftstatic.com/static/nft/webp/303d4787c96242a1bb000136dd57f405_64x64.webp","Azuki","4,185","2.2K ETH","+92.06","6.34 ETH"
"8","https://www.binance.com/vi/nft/collection/degods-694369170047053825?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1680315311520_bbkd4ll4i5ylykbam34twi0omc736x8p_64x64.webp","DeGods","2,560","742.48 ETH","+0.2","2.78 ETH"
"9","https://www.binance.com/vi/nft/collection/moonbirds-569066442241241089?isBack=1","https://public.nftstatic.com/static/nft/webp/5966121f53a842f793d02d24cf196e1c_64x64.webp","Moonbirds","5,845","354.74 ETH","-0.61","1.38 ETH"
"10","https://www.binance.com/vi/nft/collection/clone-x--x-takashi-murakami-533652760429920257?isBack=1","https://public.nftstatic.com/static/nft/webp/b8b7c6ac4743492db019ce26f7347462_64x64.webp","CLONE X - X TAKASHI MURAKAMI","9,648","287.09 ETH","+330.24","1.17 ETH"
"11","https://www.binance.com/vi/nft/collection/doodle-ape-666719112752467969?isBack=1","https://public.nftstatic.com/static/nft/webp/nft-cex/S3/1700691745419_9167eq4zcecll8iep0wkup2kenwuo0lg_64x64.webp","DOODLE APE","111","1.32 BNB","-29.04","0.04 BNB"
"12","https://www.binance.com/vi/nft/collection/webaverse-genesis-pass-672871326956822529?isBack=1","","Webaverse Genesis Pass","--","2.47 ETH","+466.35","0.02 ETH"
"13","https://www.binance.com/vi/nft/collection/mutant-ape-yacht-club-505303452945186817?isBack=1","","Mutant Ape Yacht Club","11,394","972.4 ETH","+23.50","5.29 ETH"
"14","https://www.binance.com/vi/nft/collection/lil-pudgys-528399448512405505?isBack=1","","Lil Pudgys","7,462","171.02 ETH","-21.15","0.97 ETH"
"15","https://www.binance.com/vi/nft/collection/the-grapes-716286080416743425?isBack=1","","The Grapes","592","211.92 ETH","-39.15","1.69 ETH"
"16","https://www.binance.com/vi/nft/collection/homie-metaverse-746406346941050880?isBack=1","","Homie Metaverse","159","1.75 BNB","-79.89","0.03 BNB"
"17","https://www.binance.com/vi/nft/collection/skyborne--nexian-gems-734764074398892033?isBack=1","","Skyborne - Nexian Gems","661","88.95 ETH","+17.40","1.3 ETH"
"18","https://www.binance.com/vi/nft/collection/ultiverse--electric-sheep-672112566952509441?isBack=1","","Ultiverse - Electric Sheep","--","135.17 ETH","+96.55","1.84 ETH"
"19","https://www.binance.com/vi/nft/collection/azuki-elementals-726319061462085633?isBack=1","","Azuki Elementals","4,647","41.34 ETH","+52.10","0.58 ETH"
"20","https://www.binance.com/vi/nft/collection/otherdeed-expanded-696173597875834881?isBack=1","","Otherdeed Expanded","12,588","39.37 ETH","+68.69","0.31 ETH"
"21","https://www.binance.com/vi/nft/collection/rtfkt-animus-egg-%F0%9F%A5%9A-668560421432160257?isBack=1","","RTFKT Animus Egg ðŸ¥š","6,468","21.15 ETH","+409.61","0.38 ETH"
"22","https://www.binance.com/vi/nft/collection/pudgy-penguins-507850950909366272?isBack=1","","Pudgy Penguins","4,383","728.95 ETH","+10.41","10.91 ETH"
"23","https://www.binance.com/vi/nft/collection/ens-maxis-717807349905440769?isBack=1","","ENS Maxis","1,604","0.99 ETH","-3.83","0.02 ETH"
"24","https://www.binance.com/vi/nft/collection/opepen-edition-668545431091167233?isBack=1","","Opepen Edition","4,141","24.73 ETH","-38.84","0.39 ETH"
"25","https://www.binance.com/vi/nft/collection/beanz-official-641881145226350593?isBack=1","","BEANZ Official","7,608","25.22 ETH","+5.40","0.45 ETH"
"26","https://www.binance.com/vi/nft/collection/starrynift-genesis-equipment-154482009325390848?isBack=1","","StarryNift Genesis Equipment","1,173","4.46 BNB","+0.00","0.01 BNB"
"27","https://www.binance.com/vi/nft/collection/pg-gen-2-641536392614187009?isBack=1","","PG: GEN 2","--","21.9 ETH","+1,270.66","< 0.01 ETH"
"28","https://www.binance.com/vi/nft/collection/reepz-703398655788212225?isBack=1","","reepz","1,090","1.56 ETH","+4,100.94","0.02 ETH"
"29","https://www.binance.com/vi/nft/collection/binary-dex-686060667337342977?isBack=1","","Binary: DEX","1","3.99 ETH","-32.85","0.09 ETH"
"30","https://www.binance.com/vi/nft/collection/isekai-meta-641539645632204801?isBack=1","","Isekai Meta","--","1.89 ETH","+32.47","< 0.01 ETH"
"31","https://www.binance.com/vi/nft/collection/genuine-undead-640795709716135937?isBack=1","","Genuine Undead","2,785","10.13 ETH","-11.89","0.13 ETH"
"32","https://www.binance.com/vi/nft/collection/hvmtl-688529436169109505?isBack=1","","HV-MTL","8,464","14.47 ETH","-14.10","0.23 ETH"
"33","https://www.binance.com/vi/nft/collection/redacted-remilio-babies-668643429774356481?isBack=1","","Redacted Remilio Babies","2,556","22.08 ETH","-9.38","0.53 ETH"
"34","https://www.binance.com/vi/nft/collection/milady-maker-640794577033273345?isBack=1","","Milady Maker","3,540","107.72 ETH","+17.27","2.64 ETH"
"35","https://www.binance.com/vi/nft/collection/return-of-legends-s3-180885755495849984?isBack=1","","Return of Legends S3","403","0.88 BNB","+0.00","0.02 BNB"
"36","https://www.binance.com/vi/nft/collection/pixelmon--generation-1-657544850517258241?isBack=1","","Pixelmon - Generation 1","2,582","86.32 ETH","+12.92","2.05 ETH"
"37","https://www.binance.com/vi/nft/collection/sproto-gremlins-716712639836319745?isBack=1","","Sproto Gremlins","1,144","22.76 ETH","+65.48","0.69 ETH"
"38","https://www.binance.com/vi/nft/collection/pixelmon-trainers--generation-1-697041778276491265?isBack=1","","Pixelmon Trainers - Generation 1","1,228","17.12 ETH","+239.94","0.5 ETH"
"39","https://www.binance.com/vi/nft/collection/otherdeed-for-otherside-641881071684722689?isBack=1","","Otherdeed for Otherside","3,028","28.2 ETH","-18.26","0.57 ETH"
"40","https://www.binance.com/vi/nft/collection/imaginary-rides-709344088172728321?isBack=1","","Imaginary Rides","1,950","5.47 ETH","+29.30","0.14 ETH"
"41","https://www.binance.com/vi/nft/collection/delabs-adventure-pass-official-696498191439306753?isBack=1","","Delabs Adventure Pass Official","244","7.01 ETH","+443.01","0.2 ETH"
"42","https://www.binance.com/vi/nft/collection/pixelady-maker-697430585308545025?isBack=1","","Pixelady Maker","1,830","1.64 ETH","+100.52","0.06 ETH"
"43","https://www.binance.com/vi/nft/collection/seizon-685539739877101569?isBack=1","","Seizon","1,829","0.71 ETH","+7.28","0.02 ETH"
"44","https://www.binance.com/vi/nft/collection/moonbirds-mythics-734892440581369857?isBack=1","","Moonbirds: Mythics","1,999","3.98 ETH","-14.38","0.1 ETH"
"45","https://www.binance.com/vi/nft/collection/doodles-533647159874920449?isBack=1","","Doodles","5,537","61.34 ETH","+74.35","1.89 ETH"
"46","https://www.binance.com/vi/nft/collection/otherside-vessels-696169778363047937?isBack=1","","Otherside Vessels","6,291","7.61 ETH","-40.86","0.2 ETH"
"47","https://www.binance.com/vi/nft/collection/azra-games--the-hopeful-679979349445599233?isBack=1","","Azra Games - The Hopeful","1","23.43 ETH","+195.05","0.77 ETH"
"48","https://www.binance.com/vi/nft/collection/ninas-super-cool-world-641536494083903489?isBack=1","","Nina's Super Cool World","--","7.16 ETH","+997.10","< 0.01 ETH"
"49","https://www.binance.com/vi/nft/collection/nft-passport-collection-639337213600321536?isBack=1","","NFT Passport Collection","210,506","0.05 BNB","+14.65","< 0.01 BNB"
"50","https://www.binance.com/vi/nft/collection/mavia-land-nfts-548137737250500609?isBack=1","","Mavia Land NFTs","119","27.73 ETH","+710.71","0.8 ETH"
"51","https://www.binance.com/vi/nft/collection/nakamigos-690968054768242689?isBack=1","","Nakamigos","5,582","6.33 ETH","-9.40","0.17 ETH"
"52","https://www.binance.com/vi/nft/collection/hasbullanft-668507523365040129?isBack=1","","HasbullaNFT","20","0.44 ETH","+3,964.10","0.01 ETH"
"53","https://www.binance.com/vi/nft/collection/meebits-620207919082143744?isBack=1","","Meebits","6,557","36.6 ETH","+136.08","1.27 ETH"
"54","https://www.binance.com/vi/nft/collection/a-kid-called-beast-667186301852073985?isBack=1","","a KID called BEAST","3,382","8.21 ETH","+78.30","0.28 ETH"
"55","https://www.binance.com/vi/nft/collection/bored-ape-kennel-club-641881108745592833?isBack=1","","Bored Ape Kennel Club","5,108","42.12 ETH","+24.27","1.61 ETH"
"56","https://www.binance.com/vi/nft/collection/kartpartyykz-744910951509278721?isBack=1","","KartParty-YKZ","265","60.41 ETH","+91.17","2.49 ETH"
"57","https://www.binance.com/vi/nft/collection/asm-aifa-allstars-700344797558829057?isBack=1","","ASM AIFA All-Stars","3,639","0.75 ETH","-38.79","0.02 ETH"
"58","https://www.binance.com/vi/nft/collection/merry-cryptmas-mystery-box-170698841493664768?isBack=1","","Merry Cryptmas Mystery Box","18,210","0.5 BNB","+11,145.83","< 0.01 BNB"
"59","https://www.binance.com/vi/nft/collection/renga-640789951180509185?isBack=1","","RENGA","2,935","5.33 ETH","+12.80","0.21 ETH"
"60","https://www.binance.com/vi/nft/collection/the-seekers-680738105300852737?isBack=1","","The Seekers","2","0.94 ETH","+64.34","0.04 ETH"
"61","https://www.binance.com/vi/nft/collection/capsule-house-533654340547739649?isBack=1","","Capsule House","--","1.07 ETH","+3,514.20","0.06 ETH"
"62","https://www.binance.com/vi/nft/collection/rug-radio--genesis-nft-640793984944443393?isBack=1","","Rug Radio - Genesis NFT","2,101","3.11 ETH","+73.36","0.16 ETH"
"63","https://www.binance.com/vi/nft/collection/cool-cats-nft-619803992157577216?isBack=1","","Cool Cats NFT","5,617","19.21 ETH","-26.17","0.89 ETH"
"64","https://www.binance.com/vi/nft/collection/the-cr7-foreverzone-box-407802751394464768?isBack=1","","The CR7 ForeverZone Box","15,166","0.05 BNB","-17.96","< 0.01 BNB"
"65","https://www.binance.com/vi/nft/collection/rektguy-640795517396324353?isBack=1","","rektguy","3,424","8.81 ETH","+13.38","0.4 ETH"
"66","https://www.binance.com/vi/nft/collection/xenft-by-xen-crypto-668696373739745281?isBack=1","","XENFT by XEN CRYPTO","6,934","1.57 ETH","+939.40","0.02 ETH"
"67","https://www.binance.com/vi/nft/collection/checks--vv-edition-667186315421179905?isBack=1","","Checks - VV Edition","1,217","9.28 ETH","+7.01","0.53 ETH"
"68","https://www.binance.com/vi/nft/collection/mistfits-project-681568586778820609?isBack=1","","MISTFITS PROJECT","16","0.04 ETH","+0.00","< 0.01 ETH"
"69","https://www.binance.com/vi/nft/collection/alts-by-adidas-692844154568654849?isBack=1","","ALTS by adidas","8,686","1.69 ETH","+9.96","0.09 ETH"
"70","https://www.binance.com/vi/nft/collection/win-nft-hero-618017322892853248?isBack=1","","WIN NFT HERO","2,932","1.1 BNB","-10.25","0.01 BNB"
"71","https://www.binance.com/vi/nft/collection/gemesis-695709251536801793?isBack=1","","Gemesis","45,190","0.31 ETH","-40.20","< 0.01 ETH"
"72","https://www.binance.com/vi/nft/collection/kanpai-pandas-668552893376839681?isBack=1","","Kanpai Pandas","2,145","26.72 ETH","-0.31","1.54 ETH"
"73","https://www.binance.com/vi/nft/collection/io-imaginary-ones-640791002639015937?isBack=1","","IO: Imaginary Ones","1,297","20.19 ETH","+77.95","1.19 ETH"
"74","https://www.binance.com/vi/nft/collection/art-gobblers-640794605055512577?isBack=1","","Art Gobblers","--","1.79 ETH","+115.69","0.1 ETH"
"75","https://www.binance.com/vi/nft/collection/boss-beauties-640790011374080001?isBack=1","","Boss Beauties","5,352","0.91 ETH","+274.88","0.06 ETH"
"76","https://www.binance.com/vi/nft/collection/kubz-662917212174016513?isBack=1","","Kubz","1,859","6.31 ETH","-14.06","0.39 ETH"
"77","https://www.binance.com/vi/nft/collection/alpine-esports-series-2023-345093608531719168?isBack=1","","Alpine Esports Series 2023","18,278","0.03 BNB","+74.44","< 0.01 BNB"
"78","https://www.binance.com/vi/nft/collection/kpr-664790673723109376?isBack=1","","KPR","7","2.21 ETH","-13.86","0.13 ETH"
"79","https://www.binance.com/vi/nft/collection/valhalla-663727015325208577?isBack=1","","Valhalla","2,507","1.94 ETH","-33.69","0.12 ETH"
"80","https://www.binance.com/vi/nft/collection/mongs-nft-703704419233050625?isBack=1","","MONGS NFT","1,814","1.07 ETH","+106.80","0.08 ETH"
"81","https://www.binance.com/vi/nft/collection/proof-of-narnian-nft-727950441136037889?isBack=1","","Proof of Narnian NFT","2,676","6.41 ETH","-21.62","0.39 ETH"
"82","https://www.binance.com/vi/nft/collection/the-bakery-genesis-700771389802242049?isBack=1","","The Bakery Genesis","253","6.87 ETH","+597.82","0.54 ETH"
"83","https://www.binance.com/vi/nft/collection/funapes-nft-669149289953771521?isBack=1","","FunApes NFT","4","0.52 ETH","-35.95","0.03 ETH"
"84","https://www.binance.com/vi/nft/collection/san-frantokyo-genesis-pass-746145329058648065?isBack=1","","San FranTokyo Genesis Pass","557","10.67 ETH","-69.46","0.63 ETH"
"85","https://www.binance.com/vi/nft/collection/kult-dolce-royals-680081276957405185?isBack=1","","Kult Dolce Royals","--","0.21 ETH","+1,003.36","0.03 ETH"
"86","https://www.binance.com/vi/nft/collection/muri-by-haus-642015700591411201?isBack=1","","MURI by Haus","2","0.31 ETH","+2,139.30","0.02 ETH"
"87","https://www.binance.com/vi/nft/collection/sappy-seals-640794269434580993?isBack=1","","Sappy Seals","1,896","9.44 ETH","-20.79","0.6 ETH"
"88","https://www.binance.com/vi/nft/collection/mutant-hounds-666139648539058177?isBack=1","","Mutant Hounds","5","2.31 ETH","-45.27","0.12 ETH"
"89","https://www.binance.com/vi/nft/collection/genesis-the-girls-of-armament-640795779628310529?isBack=1","","GENE_SIS: The Girls of Armament","--","0.23 ETH","+0.00","< 0.01 ETH"
"90","https://www.binance.com/vi/nft/collection/0n1-force-642353810240229377?isBack=1","","0N1 Force","3,623","14.97 ETH","+13.99","0.8 ETH"
"91","https://www.binance.com/vi/nft/collection/my-pet-hooligan-640787533660295169?isBack=1","","My Pet Hooligan","3,777","13.61 ETH","+30.20","0.91 ETH"
"92","https://www.binance.com/vi/nft/collection/kandyland-696739778014744576?isBack=1","","Kandyland","2,139","0.47 ETH","+219.11","0.03 ETH"
"93","https://www.binance.com/vi/nft/collection/eightbit-me-640794845778087936?isBack=1","","EightBit Me","--","0.83 ETH","+0.00","< 0.01 ETH"
"94","https://www.binance.com/vi/nft/collection/tubby-cats-640787480769007617?isBack=1","","tubby cats","7,785","0.77 ETH","-17.06","0.06 ETH"
"95","https://www.binance.com/vi/nft/collection/parallel-avatars-729456622577106945?isBack=1","","Parallel Avatars","2,168","12.8 ETH","+72.85","1 ETH"
"96","https://www.binance.com/vi/nft/collection/tiny-dinos-eth-676215816910868481?isBack=1","","tiny dinos (eth)","--","0.72 ETH","-13.56","0.06 ETH"
"97","https://www.binance.com/vi/nft/collection/metacene-apostle-nft-737448009817190401?isBack=1","","Metacene Apostle NFT","--","14.8 ETH","+68.57","1.31 ETH"
"98","https://www.binance.com/vi/nft/collection/mad-about-crypto-streetart-680428574012747777?isBack=1","","MAD about crypto street-art","--","0.13 ETH","+0.00","< 0.01 ETH"
"99","https://www.binance.com/vi/nft/collection/merge-vv-671772778938806273?isBack=1","","MERGE VV","12","0.13 ETH","+181.69","< 0.01 ETH"
"100","https://www.binance.com/vi/nft/collection/streets-of-milady-712896234071597057?isBack=1","","Streets of Milady","613","0.44 ETH","-50.95","0.03 ETH"
